商品类型,商品名称,单位,本期执行价
叶菜类,大白菜,斤,1.20
叶菜类,椰菜,斤,1.05
叶菜类,奶白菜,斤,2.40
叶菜类,菜芯,斤,2.00
叶菜类,小白菜,斤,1.80
叶菜类,小唐菜,斤,1.40
叶菜类,生菜,斤,2.40
叶菜类,油唛菜,斤,2.30
叶菜类,苋菜,斤,2.45
叶菜类,芥菜,斤,1.50
叶菜类,大豆芽,斤,0.98
叶菜类,绿豆芽,斤,0.98
叶菜类,菠菜,斤,5.00
叶菜类,西生菜,斤,3.50
叶菜类,旱地水菜,斤,1.90
叶菜类,西洋菜,斤,5.00
叶菜类,白菜芯,斤,2.60
叶菜类,娃娃菜,袋,2.40
叶菜类,芥兰,斤,2.20
瓜类,凉瓜,斤,1.40
瓜类,青瓜,斤,1.28
瓜类,青皮冬瓜,斤,0.85
瓜类,南瓜,斤,0.85
瓜类,胜瓜,斤,1.70
瓜类,云南小瓜,斤,1.5
瓜类,节瓜仔,斤,1.15
瓜类,佛手瓜,斤,1.18
瓜类,老黄瓜,斤,1.7
瓜类,杜阮凉瓜,斤,2.58
菌菇类,冬菇,斤,4.65
菌菇类,茶树菇,斤,5.9
菌菇类,鸡爪菇,斤,6.5
菌菇类,金针菇,斤,3.2
菌菇类,平菇,斤,5.3
菌菇类,杏鲍菇,斤,3.50 
菌菇类,海鲜菇,斤,5.30 
菌菇类,口蘑,斤,11.00 
半成品类,马蹄肉,斤,7.50 
半成品类,新鲜玉米粒,斤,3.50
半成品类,菠萝肉,斤,5.40 
半成品类,蕃薯,斤,1.98 
半成品类,玉米,斤,1.78 
半成品类,小番薯,斤,2.00 
半成品类,魔芋豆腐,斤,1.20 
根茎类,豆角,斤,2.68
根茎类,蕃茄,斤,1.56
根茎类,西兰花,斤,2.68
根茎类,菜花,斤,1.70
根茎类,蒜芯,斤,2.85
根茎类,脆肉莲藕,斤,3.00
根茎类,元椒,斤,2.50
根茎类,西芹,斤,1.50
根茎类,香芹,斤,2.90
根茎类,唛头,斤,1.60
根茎类,红萝卜,斤,1.23
根茎类,茄瓜,斤,1.10
根茎类,白萝卜,斤,0.90
根茎类,新鲜土豆(大),斤,1.60
根茎类,新鲜土豆/100g以上,斤,1.40
根茎类,淮山薯,斤,2.50
根茎类,粉芋头,斤,2.00
根茎类,芋仔,斤,3.00
根茎类,粉葛,斤,2.88
根茎类,沙葛,斤,1.38
根茎类,青尖椒(大),斤,1.80
根茎类,青尖椒(中),斤,1.50
根茎类,红尖椒,斤,3.50
根茎类,指天椒,斤,4.50
根茎类,细长红尖椒,斤,4.50
根茎类,荷兰豆,斤,7.00
根茎类,粉肉莲藕,斤,3.20
根茎类,细长青辣椒,斤,2.50
根茎类,铁棍山药（蔬菜）,斤,5.5
根茎类,散花,斤,1.7
根茎类,螺丝椒,斤,3.5
葱蒜类,红洋葱,斤,1.50
葱蒜类,白洋葱,斤,1.5
葱蒜类,大葱,斤,2.58
葱蒜类,大蒜,斤,3
葱蒜类,韭黄,斤,8
葱蒜类,韭菜,斤,2.30
佐料类,芫茜,斤,10
佐料类,葱肉,斤,4.50
佐料类,姜肉,斤,5.3
佐料类,蒜子肉,斤,2.9
佐料类,子姜,斤,4.50
佐料类,沙姜,斤,11.00
佐料类,紫苏,斤,4
